val_loss,epoch,step,train_loss,train_accuracy,train_f1_score,test_loss
0.26850348711013794,0,781,,,,
,0,781,0.45203930139541626,0.8798999786376953,0.8798999786376953,
0.19918543100357056,1,1563,,,,
,1,1563,0.219757542014122,0.9373800158500671,0.9373800158500671,
0.17567473649978638,2,2345,,,,
,2,2345,0.1691094934940338,0.9516599774360657,0.9516599774360657,
0.15883134305477142,3,2346,,,,
,3,2346,,,,0.16415441036224365
